id,title,skills,employment_type,salary,remote,company_name,company_location,description,posted_date,updated_date,company_id,position_id
261,Oracle Finance Functional Consultant - Remote,,,,,Saxon Global Inc.,,"Role: Oracle Finance Functional Consultant Location: Anywhere in  Remote   The position will primarily be responsible for implementing Finance processes for subscription-based business models in Oracle ERP. The selected candidate be able to provide best practice guidance on Finance process related to MFG business and implementation approaches. The candidate should possess sound knowledge on business processes across Projects domain, interact with customer process consultants and business SME to understand and analyze various processes.  Required Qualifications: - Candidate may be located in  Cudahy, WI or anywhere in the US  and should be  ready to travel to Cudahy, WI or relocate there. - Bachelor's Degree or foreign equivalent, will consider work experience in lieu of a degree. - Should have 4 years of experience in IT. - 4 years of implementing Oracle ERP Projects processes. - Expertise in Oracle GL, AR, FA, AGIS, Cash mgmt.   - Understand business requirements and be able to convert into system configurations in Oracle Finance modules and bring implementation experience. - Ability to gather requirements, do fit-gap analysis, Impact analysis and design solutions. - U.S. Citizenship or Permanent Residency required, we are not able to sponsor at this time.  Preferred Qualifications: - 4 years of experience in Implementing Oracle ERP across manufacturing customers. - Have the End to End understanding of a company's processes and its impact in finance process (AR / AP / GL). - Experience in MFG industry having worked with business models. - Exposure to Process Optimization/Modernization through digitization initiatives. - Excellent verbal and written communication skills. - Liaison with Other teams, Co ordination with Offshore Teams for custom development - Client facing discussions. - Experience and desire to work in a Global delivery environment.     Thanks, Sanjay Kumar  ",2023-01-27T19:15:23.000Z,,10167987,2023-80037
1,Sr. Deskside Technician,,,,,Stefanini,,"Who we areStefanini is a full service global provider of offshore, onshore and nearshore IT services, including application development and outsourcing services, IT infrastructure outsourcing (help desk support and desktop services), systems integration, consulting and strategic staffing to Fortune 1000 enterprises around the world. We have over 25,000 employees across 77 offices in 40 countries across the Americas, Europe, Africa, Australia, and Asia. What will you do?Supporting IT equipment in large corporate environmentDesktop/laptop tech support (Mac, PC & Linux)Support mobile devices, printers, scanners, wireless, VPN, etc.IMAC Support - IT equipment Install/Move/Add/ChangeMaintain repairs, spare parts, and componentsResearch and troubleshoot problemsMaintain system configurations and documentationTrack and resolve customer incidents and requests through the client's ticketing toolTroubleshoot and resolve hardware and software issues for Windows devicesBackup, restoration, and migration of user dataSmart Hands support with networking, server, and telecommunications technologiesPrinter and peripheral device supportInventory management of IT assets including asset auditingAbility to research and follow appropriate KB articlesAbility to work on-call and other after-hours support needsExecutive supportVarious other tasks associated with deskside servicesOther duties as assigned What do you need to succeed?Experience supporting Mac OS, Windows OS, Ubuntu Linux, Microsoft Office, Smart Phones, AV Conferencing Systems, Printers and PC hardwareAble to uphold a positive attitude at all times, even under stressful conditionsExperience supporting remote usersExcellent verbal and written communication skillsHigh level of professionalism and strong personal interaction skillsAbility to perform in-depth research and troubleshooting for complex technical issuesAbility to prioritize and complete all work tasks with minimal supervisionAbility to walk, bend, stand for long hours, and lift equipment up to 50 poundsAbility and willingness to learn new technologiesHigh School Diploma (required)Deskside / Desktop / End User Computer experience, ideally in a corporate environmentProven ability to handle challenging, rapid-response user supportProven ability to balance, prioritize and organize multiple tasks Desired CharacteristicsA+ CertificationNetwork+ CertificationMicrosoft Certified Professional (MCP)ITIL FoundationsLean Six Sigma      Extensive VIP & Executives level support experienceExtensive experience in IT service deliveryMinimum of 2-3 years of experience as a Sr. Deskside/Service Desk Excellent customer and people relationship and communication skillsAbility to manage and handle work related stress and pressureCollaboration and team leadership abilitiesCritical thinking and problem-solving skill   Good interpersonal skillsExcellent attention to detail and organization skillsEffective time management and organizational skillsExcellent verbal and written communication skillsBe a big-thinker, able to think strategically and ready to be and feel a part of the big picture.Be flexible & adaptable in your understanding of client needs and goals to achieve successful outcomes. What you'll getWork with brilliant minds, often within a global capacity;Comprehensive Benefits package that includes 401(k), paid time off, tuition reimbursement, medical, dental and vision insurance, and much more;Opportunity to participate in professional development eLearning programs within the Stefanini University, and other virtual training as well. Why we're differentBrazilian and privately owned company;Agility, flexibility, and innovation are in our DNA;Flat organizational structure which enables faster communication and decision making;",2023-10-06T17:02:57.000Z,,10106616,54823
2,Support - Technical Support Specialist,,,,,Siri Infosolutions Inc,,"Hope you are doing well!   This is Sahab I am a Technical Recruiter from Siri Info Solutions, Wanted to follow regarding the Job Opportunity, Please feel free to reach if you are available and interested at   or   Title : Technical Support Specialist Location : Enon, OH Term : Contract Duration: 15+ month  Please Find the Job Description Below: Duties:     Uses remote tools and cloud technology to provide technical support for hardware, software, store networks and applications     Manages simultaneous connections to multiple stores and pieces of equipment; prioritizes the order in which repairs are made in order of emergency priority     Monitors the severity of data packet loss either to the entire store network or specific pieces of equipment. Provides the best solution to resolve the underlying problem to bring equipment up to full functionality     Identifies and corrects issues before a location is aware of a problem using cloud and web-based applications Determines the best course of action to improve performance and efficiency of store systems, equipment and applications Provides accurate verbal instruction when onsite diagnostics is needed to bring various pieces of equipment to full functionality Understands and completes proper processes when installing software     Directs field personnel in installing new equipment that is going on the store network     Configures and upgrades software on newly installed devices Implements software changes for fuel dispensers and fuel tanks     Sets up new DVR equipment and configures recording settings, including using proper naming conventions, for multiple cameras     Provides troubleshooting by using remote tools connected to other legacy networks     Manages multiple tickets and works them in order of emergency to lowest priority     Identifies re-occurring store issues by reading and understanding case history and determines if a different course of resolution is needed to reduce repeat problems     Reads, interprets and follows procedures described in the internal knowledge base     Provides documentation for knowledge base articles     Works with third-party help desk vendors as applicable     Maintains inventories and orders parts as needed     Provides phone support as needed     Attends training classes as required to stay current with new equipment troubleshooting procedures and technology     Initiates timely communication of critical events to Store Support Team Leads     Completes other duties, including special projects, as assigned by Management Education Requirements: Associate degree in Computer Networking or 2 years of related experience     Specialized training in network communication, PC architecture and application support  Experience Requirements: Prior help desk experience preferred Skill Requirements:     Complete understanding of the store network (hardware and software), PC architecture wireless communication, router and third-party cellular devices Knowledge of non-standard equipment that is not connected to the Speedway network     Ability to manage simultaneous connections to multiple stores and pieces of equipment, and ability to prioritize the order in which repairs are made     Ability to research and resolve issues     Capable of working in a fast-paced environment     Excellent verbal communication skills and the ability to explain technical information in layman's terms     Well organized with the ability to work under pressure and meet tight deadlines     Excellent understanding of intra-department functions and operations Ability to perform repeated bending, standing and reaching Ability to occasionally lift up to 40 pounds     Available to work a variety of shifts, including, second and third shift, weekends and holidays; understands the staffing expectations of working in a 24/7/365 days a year department       Best Regards, Sahab Shahi | D : | Email:   Technical Recruiter LinkedIn:  Siriinfo Solutions inc, 3 Ethel Rd, Suite # 302, Edison NJ 08817.    CPUC Certified We respect your online privacy. If you would like to be removed from our mailing list please reply with ""Remove"" in the subject and we will comply immediately. We apologize for any inconvenience caused. Please let us know if you have more than one domain.  ",2023-10-11T21:31:36.000Z,,10212489a,2023-47225
3,iOS Software Engineer with USD experience,,,,,"Systems Integration Solutions, Inc.",,"Looking for an IOS Developer for Sunnyvale, CA or Austin, TX . Candidate Must have USD experience.   Job title: IOS Developer  Location: Sunnyvale, CA / Austin, TX Duration: 12+ months  Rate:  $60/hr to $65/hr C2C DOE Remarks:  Candidate MUST relocate to Sunnyvale, CA / Austin TX if hire and follow a Hybrid work scheduled     Job DescriptionDeveloping code for businesses and technical enhancements.Source code management/migration to get into production.Design of chosen path, including software configuration and business playbacks. Developing SQL and PL/SQL codes for businesses and technical enhancements.  Developing autosys scheduler jobs for business and technical enhancements.Unit testing of code before handing over to QA.Enhancing inbound and outbound database interfaces.Enhancing unix scripts for automation of database migrations.Warranty support after Go-Live.Daily status reports to client.",2023-10-18T17:01:30.000Z,,sis,45610
4,Laboratory Assistant,,,,,Stefanini,,"  Stefanini Group is hiring!  Stefanini is looking for Laboratory Assistant in East Hanover, NJ (Onsite)  For quick Apply, please reach out to Cathryn Villanueva -Call: / Email: Cathryn.Villanueva @stefanini.com  We are seeking a Food Manufacturing Associate to join our team at our facility. The ideal candidate will be responsible for various tasks related to food manufacturing, including sample requests, ordering supplies, conducting product evaluations, and assisting with pilot plant trials. The candidate should have a background in food science or CPG experience, although it is not required.  Location: will work at site-must be vaccinated to enter the facility.1. Enter sample requests into company system for analytical and micro analysis.2. Order supplies and ingredients for bench top experiments, pilot plant trials and product sample reviews.3. Assemble and initiate shelf life storage studies and conduct product pull.4. Prepare and ship samples as needed and supply tracking information.5. Aid Product Developers with bench-top sample preparation.6. Utilize various pieces of lab equipment to quantify product attributes and report findings to the Product Developer.7. Enter test data into Excel or other database systems.8. Prepare lab area for product reviews9. Assist with pilot plant trials (Fair Lawn, NJ) as needed, and evaluate the product in lab.10. Be a trusted partner within the lab environment Requirements:Availability to work 5 days a week, totaling approximately 40 hours per week.Shift timing: 8:30 AM to 4:00 PM with a 30-minute lunch break (start time flexibility).Willingness to work overtime if required (rare occurrence).Recommended: Background in food science or CPG experience. Note: This job requires on-site work, and all candidates must be vaccinated to enter the facility.  ***Listed salary ranges may vary based on experience, qualifications, and local market. Also, some positions may include bonuses or other incentives*** Stefanini takes pride in hiring top talent and developing relationships with our future employees. Our talent acquisition teams will never make an offer of employment without having a phone conversation with you. Those face-to-face conversations will involve a description of the job for which you have applied. We also speak with you about the process including interviews and job offers. About Stefanini Group The Stefanini Group is a global provider of offshore, onshore and near shore outsourcing, IT digital consulting, systems integration, application, and strategic staffing services to Fortune 1000 enterprises around the world. Our presence is in countries like the Americas, Europe, Africa, and Asia, and more than four hundred clients across a broad spectrum of markets, including financial services, manufacturing, telecommunications, chemical services, technology, public sector, and utilities. Stefanini is a CMM level 5, IT consulting company with a global presence. We are a CMM Level 5 company.",2023-09-26T15:02:22.000Z,,10106616,54833
5,Business Analyst,,,,,TechNix LLC,,"Position: Business Analyst   Duration: 1 Year   Location: Jackson, MS (Onsite from day 1)       Required skills:    10+ years' experience working with stakeholders to build and formulate business requirements.  Ability to define and implement new system functionality, participate in issue resolution, and drive process refinement.  Knowledgeable in software requirements gathering, GSD creation, and system integration.     Preferred skills:   Agile experience (SAFe, Agile Scrum,  Kanban,  XP or similar methodologies)  JIRA experience    ",2023-10-26T14:31:21.000Z,,10365731,2023-1608
21,Project Manager,,,,,"Systems Integration Solutions, Inc.",,"Role:Project ManagerTerms:12mos+Loc:Sunnyvale,Ca(MUST BE LOCAL OR WILLING TO RELOCATE ,NO REMOTE) Our direct client is looking for an experienced Project Manager to work closely with our Solution Manager to deliver a number of projects. The ideal candidate will work closely with the various delivery teams to ensure project deliverables are created / submitted based upon the agreed upon schedule and align with the project stakeholder expectations. The candidate will be able to demonstrate a proven track record of successful running large scale project management engagements.  The project manager is accountable for the creation, management and maintenance of key deliverables associated to each project, specifically:Project CharterCommunication PlanProject Kick OffProject Management PlanProject ScheduleScope Management PlanBenefits TrackerRisk RegisterChange LogProject Status ReportIssue LogValue Tracker  Additional RequirementsLarge scale project management experience mandatoryFamiliarity using tools (Chorus, Quip, Keynote, Wrike) is mandatoryDemonstrated ability to take initiative in an ambiguous environment mandatory10 years project management experience, of which minimal 3 years leading large scale projectsExperience in legal operations a plusExcellent verbal and communication skills mandatory - scrubbed deliverables requestedSelf motivated and able to work with minimal supervision mandatory The Project Manager candidate must be prepared to:Aggregate detailed plans from multiple work streams into a single comprehensive project viewDeal effectively with ambiguity and drive consensus with work stream leads Experience using tools for project reporting and communication (e.g Chorus, Quip, Keynote, Wrike)Structure projects either using Agile / Waterfall / Hybrid methodologies that best aligns with variety of projects within the portfolio  Serve as the first point of issue escalation for the project delivery teamsDocument project work and status in Wrike (e.g. risks, issues, decisions, changes, schedule, tasks)Work closely with the Solution Manager on specific Change Management activities (e.g. comms creation and delivery) Coordinate deliverable development activities with the project's Business Analyst, Technical Project Manager, and assigned Business StakeholdersUse appropriate verification techniques to manage changes in scope, schedule and/or budgetComfortable communicating project status, issues and risks Develop executive level project summaries as required using aforementioned toolsIS&T Enterprise Business Solutions (EBS) is looking for an experienced Project Manager to work closely with our Solution Manager to deliver a number of Capital Projects for FY24.  As the IS&T EBS Project Manager for Legal and Global Security Solutions, the candidate will work closely with the various delivery teams to ensure project deliverables are created / submitted based upon the agreed upon schedule and align with the project stakeholder expectations.  The candidate will be able to demonstrate a proven track record of successful running large scale project management engagements.  The project manager is accountable for the creation, management and maintenance of key deliverables associated to each project, specifically:Project CharterCommunication PlanProject Kick OffProject Management PlanProject ScheduleScope Management PlanBenefits TrackerRisk RegisterChange LogProject Status ReportIssue LogValue Tracker The Project Manager candidate must be prepared to:Aggregate detailed plans from multiple work streams into a single comprehensive project viewDeal effectively with ambiguity and drive consensus with work stream leads Use Apple based tools for project reporting and communication (e.g Chorus, Quip, Keynote, Wrike)Structure projects either using Agile / Waterfall / Hybrid methodologies that best aligns with variety of projects within the portfolio  Serve as the first point of issue escalation for the project delivery teamsDocument project work and status in Wrike (e.g. risks, issues, decisions, changes, schedule, tasks)Work closely with the Solution Manager on specific Change Management activities (e.g. comms creation and delivery) Coordinate deliverable development activities with the project's Business Analyst, Technical Project Manager, and assigned Business StakeholdersUse appropriate verification techniques to manage changes in scope, schedule and/or budgetComfortable communicating project status, issues and risks Develop executive level project summaries as required using aforementioned Apple based tools Additional RequirementsExperience in legal operations a plusLarge scale project management experience mandatoryFamiliarity using Apple based tools required (Chorus, Quip, Keynote, Wrike) mandatoryDemonstrated ability to take initiative in an ambiguous environment mandatory10 years project management experience, of which minimal 3 years leading large scale projectsExcellent verbal and communication skills mandatory - scrubbed deliverables requestedSelf motivated and able to work with minimal supervision mandatory",2023-10-18T18:01:35.000Z,,sis,45612
22,QA Team Lead,,,,,TechNix LLC,,"Position: QA Team Lead Duration: 1 years  Location: Montgomery, AL (O site from day 1)    Required Skills  Experience directing a software testing program for a multi-phased enterprise development activity.  Experience in developing, implementing, and evaluating a multi-phase Enterprise Test Strategy  Experience developing software tests for functional, performance and regression testing that include automated, ad-hoc, and manual testing elements.  Strong understanding of Azure Dev Ops operations, functions, and features.  Strong knowledge of testing Web-based applications.  Strong test planning and test case development skills.  Knowledge of Systems Development Life Cycle.  Good understanding on optimizing traceability between requirements and testing.  Good understanding of Software Design Patterns.  Good understanding of object-oriented programming.  Ability to oversee and integrate with multiple test teams for testing individual modules and end to end testing for the enterprise solution.  Collaborate with SMEs to scope opportunities, identify constraints, and help mitigate risks specifically but not limited to testing.  Knowledge of version control concepts and management software.  Solid written and verbal communication skills.  Interact professionally with a diverse group of executives, managers, and subject matter experts.  Work with multiple vendors as well as in-person or virtual teams.  Understanding of multiple project methodologies  Experience in all phases of the standard project management life cycle, CMS MITA, MECT, OBC and MECL.     Skills Preferred   Program Management experience  Project management experience  Automated testing experience  Strong interpersonal and team building skills.  Excellent verbal and written communication skills  Ability to work independently with minimal direction from State or other team members.  Ability to work under pressure / to a deadline.  Strong analytical and critical thinking skills.     Experience Required   5 - 7 Years of systems development, testing and/or business  Experience with 5 of the years specifically in testing  3     5 Years of experience as a test manager  2     3 years of experience with multi-vendor projects  2     3 years of experience on Medicaid or Major Health Care Payer projects     Education Details Bachelor's degree in Computer Science, Information Systems or similar. Equivalent work experience may be substituted for a degree. ",2023-10-26T14:31:21.000Z,,10365731,2023-1607
23,System Admin -- Data Retention,,,,,American Tech Vision Solutions LLC,,"     Corporate Office Corona, CA 92879, USA         Job Details   Description     Position Summary: We are seeking a highly skilled and motivated individual to join our team as a Microsoft Mail and Data Retention Administrator. In this role, you will be responsible for managing and maintaining our email retention system, specifically focusing on Enterprise Vault and Discovery Accelerator. You will play a critical role in ensuring the efficient archiving and retrieval of emails in compliance with company policies and industry regulations. This is an exciting opportunity to work with cutting-edge technologies and contribute to the overall success of our organization. Essential Job Functions:   Configure and maintain Enterprise Vault and Discovery Accelerator, managing archiving, indexing, and retrieval of email and other electronic records. Design and implement data retention policies and procedures to meet regulatory and compliance requirements for both on-premises Exchange and cloud-based mailboxes. Monitor and manage the email archiving process, ensuring the timely and accurate capture of incoming and outgoing emails. Conduct periodic audits to assess the effectiveness of the email retention system and identify areas for improvement. Administer our hybrid Exchange environment, including the installation, configuration, and maintenance of on-premises Exchange Servers, databases, and mailboxes, as well as our Exchange Online services. Monitor and troubleshoot Exchange server performance, mail flow, and connectivity to ensure optimal system functionality in both on-premises and cloud environments. Create and maintain comprehensive documentation related to Exchange administration and data retention processes. Participates in on-call rotation  Position Requirements:    Bachelor's degree in computer science, information technology, or a related field (or equivalent experience) Proven experience in email administration and data retention, using Veritas Enterprise Vault Proficiency in administering and managing email archiving systems in a 2000+ mailbox environment Strong knowledge of Exchange architecture, protocols (SMTP, MAPI, EWS, ActiveSync, Autodiscover), and email routing Experience with transport rule configuration to manage email flow and security measures.    ",2023-08-23T14:45:36.000Z,,91127237,2023-593
24,Business Analyst,,,,,TechNix LLC,,"Position: Business Analyst   Duration: 9 Months  Location: TEXAS (100% REMOTE)    Required Experience:    8 Years' Experience in performing complex business analysis and writing technical documentation.   8 Years' Experience reporting project status to management including risks, issues, and key decisions.  8 Years' Experience identifying project risks and issues; and developing/implementing mitigation strategies.   8 Years' Experience utilizing business analysis skills and interacting with business end users to gather, validate and document business requirements and translate into technical solutions to satisfy the business needs.   8 Years' Experience performing review and approval processes of complex technical user and system requirements written by vendors.   8 Years' Experience with Microsoft Office products (Teams, Word, Excel, PowerPoint).   8 Years' Experience coordinating and developing test plans/strategies, exit criteria and test scenarios.  8 Years' Experience executing detailed test cases within a complex software environment.   8 Years' Experience using testing management software.   8 Years' Experience with Microsoft Project or similar project management software.   8 Years' Experience utilizing the Agile software development methodology.   8 Years' Experience as Senior Business Analyst or Agile Product Owner.     Preferred Experience:    4 Preferred Experience with Texas Medicaid.   4 Preferred Familiarity with Federal funding requests (Advanced Planning Documents).   ",2023-10-26T13:46:14.000Z,,10365731,2023-1605
