GeoLocation,_version_,all_locations,buid,city_exact,city_slab_exact,company_buid_slab,company_buid_slab_exact,company_exact,company_member,company_slab_exact,country_ac,country_exact,country_short_exact,country_slab_exact,date_added,date_new,date_updated,django_ct,django_id,federal_contractor,guid,id,is_posted,lat_long_buid_slab_exact,location_exact,network,on_sites,onet_exact,other,reqid,salted_date,score,state_short,state_short_exact,title_exact,title_slab_exact,title_slug
"37.21647, -77.24193",1.78082E+18,"'23875', 'Prince George', 'Virginia', 'VA', 'Prince George, Virginia', 'United States'",47004,Prince George,"prince-george/virginia/usa/jobs::Prince George, VA","Justice, Bureau of Prisons/Federal Prison System::47004","Justice, Bureau of Prisons/Federal Prison System::47004","Justice, Bureau of Prisons/Federal Prison System",FALSE,"justice-bureau-of-prisonsfederal-prison-system/careers::Justice, Bureau of Prisons/Federal Prison System",United States,United States,USA,usa/jobs::United States,2023-10-26T12:12:16.037Z,2023-10-26T17:10:24Z,2023-10-26T17:10:24Z,seo.joblisting,0,FALSE,554073CB1A344379B8FA97773F575D7B,seo.joblisting.554073CB1A344379B8FA97773F575D7B,FALSE,37.21647::-77.24193::47004,"Prince George, VA",TRUE,0,"'43601400', '43601300', '43601100'",{},PET-2024-0005,2023-10-27T02:56:47.02Z,1.452601,VA,VA,Secretary (Associate Warden's Secretary),secretary-associate-wardens-secretary/jobs-in::Secretary (Associate Warden's Secretary),secretary-associate-wardens-secretary
"36.35346, -94.210014",1.78078E+18,"'72712', 'Bentonville', 'Arkansas', 'AR', 'Bentonville, Arkansas', 'United States'",57484,Bentonville,"bentonville/arkansas/usa/jobs::Bentonville, AR",Walmart::57484,Walmart::57484,Walmart,TRUE,walmart/careers::Walmart,United States,United States,USA,usa/jobs::United States,2023-10-26T00:48:23.384Z,2023-10-26T05:38:12Z,2023-10-26T05:38:12Z,seo.joblisting,0,TRUE,A4DDC45FDA36430B867DC4505991B042,seo.joblisting.A4DDC45FDA36430B867DC4505991B042,FALSE,36.35346::-94.210014::57484,"Bentonville, AR",TRUE,0,"'11102100', '11202100', '11302100'",{},8261_R-1710313,2023-10-27T02:56:45.677Z,1.452599,AR,AR,"Director, Business Strategy","director-business-strategy/jobs-in::Director, Business Strategy",director-business-strategy
"33.733864, -84.73292",1.78079E+18,"'30154', 'Douglasville', 'Georgia', 'GA', 'Douglasville, Georgia', 'United States'",13448,Douglasville,"douglasville/georgia/usa/jobs::Douglasville, GA",Pizza Hut::13448,Pizza Hut::13448,Pizza Hut,TRUE,pizza-hut/careers::Pizza Hut,United States,United States,USA,usa/jobs::United States,2023-10-26T05:07:44.765Z,2023-10-26T09:52:54Z,2023-10-26T09:52:54Z,seo.joblisting,0,FALSE,3B4407DF388A42ACBB243BD60492EDAE,seo.joblisting.3B4407DF388A42ACBB243BD60492EDAE,FALSE,33.733864::-84.73292::13448,"Douglasville, GA",TRUE,0,"'53303100', '53303300', '99999900'",{},9440396-41671f85ae91c9eab4b5da25975c5f88,2023-10-27T02:56:42.371Z,1.4525945,GA,GA,Delivery Driver - Now Hiring,delivery-driver-now-hiring/jobs-in::Delivery Driver - Now Hiring,delivery-driver-now-hiring
"47.028008, -122.8908",1.78078E+18,"'98507', 'Olympia', 'Washington', 'WA', 'Olympia, Washington', 'United States'",54771,Olympia,"olympia/washington/usa/jobs::Olympia, WA",Oracle::54771,Oracle::54771,Oracle,TRUE,oracle/careers::Oracle,United States,United States,USA,usa/jobs::United States,2023-10-26T01:14:49.804Z,2023-10-26T06:07:24Z,2023-10-26T06:07:24Z,seo.joblisting,0,TRUE,E7271CC5CC2A45EBA539FCD9717CF4AD,seo.joblisting.E7271CC5CC2A45EBA539FCD9717CF4AD,FALSE,47.028008::-122.8908::54771,"Olympia, WA",TRUE,0,"'11307104', '11306100', '11202100'",{},216550,2023-10-27T02:56:42.049Z,1.452594,WA,WA,"Director, SCM COE, Product Advisor","director-scm-coe-product-advisor/jobs-in::Director, SCM COE, Product Advisor",director-scm-coe-product-advisor
"34.040813, -118.295235",1.78078E+18,"'90006', 'LOS ANGELES', 'California', 'CA', 'LOS ANGELES, California', 'United States'",52231,LOS ANGELES,"los-angeles/california/usa/jobs::Los Angeles, CA",CVS Health::52231,CVS Health::52231,CVS Health,TRUE,cvs-health/careers::CVS Health,United States,United States,USA,usa/jobs::United States,2023-10-26T01:41:12.163Z,2023-10-26T06:23:49Z,2023-10-26T06:23:49Z,seo.joblisting,0,TRUE,CAEF65DD802349E991C422A7599E3E30,seo.joblisting.CAEF65DD802349E991C422A7599E3E30,FALSE,34.040813::-118.295235::52231,"Los Angeles, CA",TRUE,0,"'29205200', '99999999'",{},R0069762,2023-10-27T02:56:41.634Z,1.4525933,CA,CA,Pharmacy Technician,pharmacy-technician/jobs-in::Pharmacy Technician,pharmacy-technician
"33.415443, -111.75638",1.78082E+18,"'85213', 'Mesa', 'Arizona', 'AZ', 'Mesa, Arizona', 'United States'",28720,Mesa,"mesa/arizona/usa/jobs::Mesa, AZ",CDM Smith::28720,CDM Smith::28720,CDM Smith,TRUE,cdm-smith/careers::CDM Smith,United States,United States,USA,usa/jobs::United States,2023-10-26T10:48:26.362Z,2023-10-26T15:40:23Z,2023-10-26T15:40:23Z,seo.joblisting,0,TRUE,5B52D2F146124F449AEEEDCEBFA2B8BB,seo.joblisting.5B52D2F146124F449AEEEDCEBFA2B8BB,FALSE,33.415443::-111.75638::28720,"Mesa, AZ",TRUE,0,"'17205102', '17205100', '17208100'",{},35714BR,2023-10-27T02:56:39.875Z,1.452591,AZ,AZ,Water Resources Engineer 3,water-resources-engineer-3/jobs-in::Water Resources Engineer 3,water-resources-engineer-3
"38.574604, -121.47096",1.78078E+18,"'94278', 'Sacramento', 'California', 'CA', 'Sacramento, California', 'United States'",27478,Sacramento,"sacramento/california/usa/jobs::Sacramento, CA",J&J Family of Companies::27478,J&J Family of Companies::27478,J&J Family of Companies,TRUE,jj-family-of-companies/careers::J&J Family of Companies,United States,United States,USA,usa/jobs::United States,2023-10-26T00:54:06.832Z,2023-10-26T05:47:44Z,2023-10-26T05:47:44Z,seo.joblisting,0,TRUE,D1BA1402283D47AF8967A0F690A9DB7B,seo.joblisting.D1BA1402283D47AF8967A0F690A9DB7B,FALSE,38.574604::-121.47096::27478,"Sacramento, CA",TRUE,0,"'13205100', '13201100', '13111100'",{},2307011661W,2023-10-27T02:56:37.554Z,1.4525876,CA,CA,"Senior Financial Analyst, Global Operations","senior-financial-analyst-global-operations/jobs-in::Senior Financial Analyst, Global Operations",senior-financial-analyst-global-operations
"42.420174, -71.11165",1.7808E+18,"'02153', 'MEDFORD', 'Massachusetts', 'MA', 'MEDFORD, Massachusetts', 'United States'",52696,MEDFORD,"medford/massachusetts/usa/jobs::Medford, MA",CVS Health::52696,CVS Health::52696,CVS Health,TRUE,cvs-health/careers::CVS Health,United States,United States,USA,usa/jobs::United States,2023-10-26T05:48:43.469Z,2023-10-26T10:13:24Z,2023-10-26T10:13:24Z,seo.joblisting,0,TRUE,54276C2DD6A345E1804021780139E5BA,seo.joblisting.54276C2DD6A345E1804021780139E5BA,FALSE,42.420174::-71.11165::52696,"Medford, MA",TRUE,0,"'41203100', '41201100', '43405100'",{},R0069095,2023-10-27T02:56:36.137Z,1.4525855,MA,MA,Store Associate,store-associate/jobs-in::Store Associate,store-associate
"34.69837, -86.629364",1.7808E+18,"'35808', 'Huntsville', 'Alabama', 'AL', 'Huntsville, Alabama', 'United States'",5616,Huntsville,"huntsville/alabama/usa/jobs::Huntsville, AL","Schneider National, Inc.::5616","Schneider National, Inc.::5616","Schneider National, Inc.",FALSE,"schneider-national-inc/careers::Schneider National, Inc.",United States,United States,USA,usa/jobs::United States,2023-10-26T07:12:26.365Z,2023-10-26T12:09:28Z,2023-10-26T12:09:28Z,seo.joblisting,0,FALSE,4EA7F923D00C4FD0A6C5005E8EA57098,seo.joblisting.4EA7F923D00C4FD0A6C5005E8EA57098,FALSE,34.69837::-86.629364::5616,"Huntsville, AL",TRUE,0,"'53303200', '53303100', '99999999'",{},232036166,2023-10-27T02:56:35.775Z,1.4525851,AL,AL,Class A CDL - Dedicated Flatbed truck driver - VT Industries,class-a-cdl-dedicated-flatbed-truck-driver-vt-industries/jobs-in::Class A CDL - Dedicated Flatbed truck driver - VT Industries,class-a-cdl-dedicated-flatbed-truck-driver-vt-industries
"30.2998, -97.754776",1.78081E+18,"'78703', 'Austin', 'Texas', 'TX', 'Austin, Texas', 'United States'",52861,Austin,"austin/texas/usa/jobs::Austin, TX",Office Depot::52861,Office Depot::52861,Office Depot,TRUE,office-depot/careers::Office Depot,United States,United States,USA,usa/jobs::United States,2023-10-26T10:37:27.042Z,2023-10-26T15:35:52Z,2023-10-26T15:35:52Z,seo.joblisting,0,TRUE,B40D2256F2774DDD940EF4BC6F50C3B6,seo.joblisting.B40D2256F2774DDD940EF4BC6F50C3B6,FALSE,30.2998::-97.754776::52861,"Austin, TX",TRUE,0,"'43101100', '41101100', '41101200'",{},78213,2023-10-27T02:56:34.126Z,1.4525828,TX,TX,Retail Print and Client Services Supervisor - Key Carrier,retail-print-and-client-services-supervisor-key-carrier/jobs-in::Retail Print and Client Services Supervisor - Key Carrier,retail-print-and-client-services-supervisor-key-carrier
